CTPRVN_NM,SGG_NM,EMD_NM,EMD_CD,X,Y,TOT,BDG_AGE
서울특별시,중구,명동2가,11140127,14135726.88,4517813.841,1,60.55555556
서울특별시,성동구,하왕십리동,11200102,14140414.65,4517485.561,1,36.13139696
서울특별시,광진구,중곡동,11215101,14147462.71,4517951.853,1,29.51324828
서울특별시,광진구,군자동,11215109,14145754.57,4516488.404,1,31.65456432
서울특별시,동대문구,용두동,11230102,14141392.77,4519661.545,1,41.24296911
서울특별시,동대문구,답십리동,11230105,14143709.42,4518802.457,1,37.70429874
서울특별시,중랑구,상봉동,11260102,14147543.33,4523209.567,1,31.30831904
서울특별시,중랑구,망우동,11260105,14148619.88,4522387.458,1,32.7814871
서울특별시,중랑구,신내동,11260106,14149743.87,4525365.883,1,27.06217617
서울특별시,성북구,안암동5가,11290125,14140866.62,4521474.37,1,28.94181818
서울특별시,성북구,정릉동,11290133,14137390.71,4525102.213,1,36.37397099
서울특별시,강북구,미아동,11305101,14140234.18,4526037.599,1,36.57741968
서울특별시,강북구,번동,11305102,14141623.1,4527092.638,1,32.22431078
서울특별시,노원구,공릉동,11350103,14147423.51,4527354.389,1,26.9133945
서울특별시,서대문구,창천동,11410116,14130243.03,4517310.265,1,32.48904006
서울특별시,마포구,서교동,11440120,14128676.46,4516384.215,1,29.84981413
서울특별시,양천구,신정동,11470101,14122652.44,4511013.743,1,30.65314534
서울특별시,양천구,목동,11470102,14123818.06,4513907.41,1,29.63123845
서울특별시,강서구,등촌동,11500102,14121186.26,4517317.488,1,28.29966887
서울특별시,강서구,화곡동,11500103,14120573.83,4514743.607,1,29.14131305
서울특별시,강서구,가양동,11500104,14120995.01,4518561.236,1,29.17453799
서울특별시,구로구,구로동,11530102,14124739.18,4508222.415,1,31.55997024
서울특별시,구로구,오류동,11530108,14119451.24,4507401.589,1,32.26268499
서울특별시,금천구,가산동,11545101,14124637.45,4505760.775,1,29.31457209
서울특별시,금천구,독산동,11545102,14126254.36,4504468.737,1,31.08483172
서울특별시,금천구,시흥동,11545103,14127477.61,4501952.47,1,32.12469358
서울특별시,영등포구,도림동,11560118,14126132,4510234.998,1,32.49498998
서울특별시,영등포구,대림동,11560133,14126457.79,4508390.119,1,32.56593289
서울특별시,동작구,상도동,11590102,14131348.91,4508850.382,1,30.25728643
서울특별시,동작구,사당동,11590107,14134493.05,4507013.87,1,31.06388549
서울특별시,관악구,봉천동,11620101,14131903.65,4506640.099,2,30.47770764
서울특별시,관악구,신림동,11620102,14130312.44,4503973.837,7,30.41191191
서울특별시,서초구,서초동,11650108,14139445,4507402.536,2,28.94654919
서울특별시,강남구,역삼동,11680101,14141880.49,4509065.24,1,28.12440669
서울특별시,강남구,청담동,11680104,14143194.43,4512454.692,1,29.41569767
서울특별시,강남구,압구정동,11680110,14140858.29,4513492.12,1,41.85714286
서울특별시,강남구,도곡동,11680118,14143166.11,4507577.782,1,32.61177754
부산광역시,중구,대청동1가,26110116,14363870.02,4178074.141,1,30.79347826
부산광역시,중구,보수동1가,26110120,14363092.64,4178405.465,1,34.86282051
부산광역시,서구,남부민동,26140123,14362617.09,4175739.869,1,43.2375
부산광역시,영도구,신선동2가,26200113,14365547.94,4175588.462,1,36.96098266
부산광역시,부산진구,양정동,26230101,14368661.87,4187054.313,1,35.55906149
부산광역시,부산진구,전포동,26230102,14368128.25,4185306.545,1,38.68898551
부산광역시,부산진구,부전동,26230103,14366662.08,4185289.637,1,36.75116399
부산광역시,부산진구,개금동,26230111,14362684.94,4184740.647,2,36.14134791
부산광역시,동래구,온천동,26260108,14367803.82,4192985.637,1,35.27649672
부산광역시,남구,용호동,26290107,14372926.52,4179426.197,1,37.2830137
부산광역시,남구,용당동,26290108,14371081.99,4179137.541,1,31.53846154
부산광역시,남구,감만동,26290111,14368891.84,4179135.922,1,38.74363057
부산광역시,북구,만덕동,26320103,14364503.58,4192970.353,1,33.7154059
부산광역시,해운대구,반송동,26350101,14378103.64,4194360.772,1,34.52776345
부산광역시,해운대구,중동,26350106,14379061.62,4186282.329,2,30.07115279
부산광역시,사하구,괴정동,26380101,14359409.6,4177809.765,1,39.04506658
부산광역시,사하구,감천동,26380108,14360706.19,4176024.54,2,39.04084821
부산광역시,강서구,대저1동,26440101,14358015.75,4193016.69,1,29.13450154
