CTPRVN_NM,SGG_NM,EMD_NM,EMD_CD,X,Y,TOT
경기도,포천시,내촌면,41650320,14163509.04,4549031.261,1
경기도,포천시,이동면,41650380,14183473.22,4586487.461,1
경기도,여주시,천송동,41670120,14211216.26,4481588.001,1
경기도,여주시,가남읍,41670250,14198847.44,4469790.47,1
경기도,가평군,가평읍,41820250,14191847.25,4555279.614,1
경기도,가평군,북면,41820350,14192587.45,4571595.745,1
강원도,춘천시,후평동,42110120,14221855.85,4561779.766,2
강원도,춘천시,퇴계동,42110123,14219167.43,4558939.746,1
강원도,춘천시,신북읍,42110250,14224436.4,4575108.712,1
강원도,춘천시,동면,42110310,14232245.59,4563589.129,1
강원도,강릉시,두산동,42150127,14351826.66,4546036.457,1
강원도,강릉시,병산동,42150129,14354060.34,4545541.43,1
강원도,강릉시,주문진읍,42150250,14337158.32,4563421.884,1
강원도,동해시,용정동,42170104,14373567.35,4509995.103,1
강원도,태백시,황지동,42190101,14353043.41,4462885.232,3
강원도,삼척시,남양동,42230120,14378428.93,4499632.12,1
강원도,삼척시,근덕면,42230310,14386609.18,4483614.58,1
강원도,홍천군,두촌면,42720320,14252461.37,4561230.975,1
강원도,영월군,영월읍,42750250,14305758.72,4467296.017,1
강원도,평창군,진부면,42760360,14311581.27,4527696.951,1
강원도,철원군,갈말읍,42780256,14174324.68,4606130.944,1
강원도,철원군,동송읍,42780259,14171314.76,4619726.734,1
강원도,인제군,인제읍,42810250,14276512.84,4588756.26,1
강원도,양양군,양양읍,42830250,14315765.81,4592380.365,1
강원도,양양군,손양면,42830320,14321542.4,4586146.039,1
충청북도,청주시 서원구,사직동,43112101,14190593.91,4388587.299,1
충청북도,청주시 서원구,모충동,43112103,14191155.09,4387017.364,1
충청북도,청주시 흥덕구,외북동,43113136,14185659.22,4391392.157,1
충청북도,청주시 청원구,오창읍,43114253,14183679.14,4401449.747,5
충청북도,충주시,교현동,43130105,14241282.41,4436170.313,1
충청북도,충주시,용산동,43130106,14242186.36,4434039.065,1
충청북도,충주시,칠금동,43130116,14238607.74,4436813.506,1
충청북도,충주시,목행동,43130119,14240716.68,4440392.973,1
충청북도,충주시,문화동,43130127,14240245.02,4434871.061,1
충청북도,충주시,금가면,43130390,14237213.86,4443084.201,1
충청북도,충주시,동량면,43130400,14253923.52,4439440.334,1
충청북도,제천시,서부동,43150102,14271463.72,4458225.784,1
충청북도,제천시,청전동,43150113,14272190.17,4460087.606,1
충청북도,영동군,영동읍,43740250,14227510.6,4324883.477,1
충청북도,진천군,문백면,43750330,14187783.79,4411258.381,1
충청남도,천안시 서북구,신당동,44133110,14155253.95,4419057.9,1
충청남도,천안시 서북구,성환읍,44133250,14151873.96,4429675.756,1
충청남도,천안시 서북구,성거읍,44133253,14159300.32,4421537.938,1
충청남도,천안시 서북구,직산읍,44133256,14155839.04,4424445.42,1
충청남도,아산시,음봉면,44200350,14137987.55,4418247.665,2
충청남도,아산시,영인면,44200370,14133410.84,4423129.297,1
충청남도,아산시,도고면,44200400,14128864.77,4402452.707,1
충청남도,아산시,신창면,44200410,14127118.44,4412069.138,1
충청남도,서산시,대산읍,44210250,14076266.06,4433276.71,1
충청남도,당진시,대덕동,44270107,14098089.48,4421785.758,1
충청남도,당진시,송악읍,44270253,14112229.11,4430614.37,1
충청남도,금산군,제원면,44710320,14200383.16,4318536.672,1
충청남도,서천군,장항읍,44770250,14103168.72,4303535.709,1
충청남도,홍성군,홍성읍,44800250,14100330.52,4381929.406,2
전라북도,전주시 완산구,서서학동,45111126,14155161.97,4271402.763,1
전라북도,전주시 완산구,서신동,45111129,14151197.87,4277263.264,2
전라북도,전주시 덕진구,우아동2가,45113114,14156547.58,4277631.468,1
전라북도,군산시,경장동,45130135,14107859.18,4296409.619,1
전라북도,군산시,나운동,45130144,14103840.34,4295453.432,2
전라북도,익산시,마동,45140112,14133609.77,4292392.661,1
전라북도,익산시,영등동,45140122,14134490.57,4294819.458,1
전라북도,익산시,어양동,45140123,14136349.2,4294027.546,1
전라북도,익산시,금마면,45140400,14141524.23,4301377.087,1
전라북도,정읍시,장명동,45180102,14122071.42,4241214.445,1
전라북도,정읍시,상평동,45180108,14117162.14,4240325.942,1
